x,y,impact_total,distance_to_nearest_blast,impact_B1,impact_B2
0.0,15.0,11.790874913077708,81.85963596303125,11.78940072371847,0.001474189359237671
0.0,85.0,11.82220639241425,81.85963596303125,11.78940072371847,0.03280566869578015
0.0,86.0,11.536557651336782,82.29216244576394,11.503098070484404,0.0334595808523784
1.0,85.0,12.441529502511342,80.95677859203639,12.405019152352676,0.03651035015866548
2.0,3.0,9.278230772827243,85.98255637046388,9.277468287128663,0.0007624856985798288
3.0,2.0,9.433737418700526,85.70297544426332,9.4329529731963,0.0007844455042251141
3.0,3.0,9.749254847154583,85.14693182963201,9.748407429924702,0.0008474172298804779
3.0,4.0,10.0683517222094,84.59905436823747,10.067436911914013,0.0009148102953864472
4.0,1.0,9.578574609566022,85.44588931013593,9.577768688814585,0.0008059207514379912
4.0,2.0,9.90579424646606,84.87638069569178,9.904923026924795,0.0008712195412643557
4.0,3.0,10.237102145372255,84.31488599292535,10.236160988279378,0.0009411570928757764
4.0,4.0,10.572168853412732,83.7615663654877,10.571152848347246,0.00101600506548607
4.0,5.0,10.910646098095022,83.21658488546619,10.909550051874342,0.0010960462206792956
4.0,6.0,11.25216715198767,82.68010643437755,11.250985577496118,0.0011815744915510988
4.0,34.0,20.1365462729608,71.80529228406496,20.129233938712623,0.0073123342481748324
5.0,0.0,9.712174529688856,85.21150157109074,9.711347691774836,0.000826837914018992
5.0,1.0,10.050916668967252,84.62860036654276,10.05002221826342,0.0008944507038328992
5.0,2.0,10.394274562861266,84.0535543567314,10.393307640331368,0.0009669225298969563
5.0,3.0,10.74192258059927,83.48652585896721,10.740878037916087,0.0010445426831832043
5.0,6.0,11.807052216648898,81.83520025025906,11.805740846847694,0.0013113698012033321
5.0,34.0,21.12986689710877,70.83078426785913,21.121751306955183,0.008115590153586745
5.0,36.0,21.5742129280274,70.40596565632774,21.565158941104528,0.009053986922872013
6.0,0.0,10.184050192476269,84.40379138403677,10.183133162153519,0.0009170303227495308
6.0,1.0,10.539252801481195,83.81527307120105,10.538260783089546,0.0009920183916488697
6.0,4.0,11.632515589434936,82.09750300709517,11.631264975513936,0.0012506139209993385
6.0,51.0,24.213259721778147,68.00735254367721,24.192373748871773,0.020885972906375068
6.0,54.0,24.090779146679367,68.11754546370561,24.06704658860182,0.023732558077546248
7.0,0.0,10.671462660916571,83.60023923410746,10.670446303987863,0.001016356928708694
7.0,2.0,11.420945582628896,82.41965784932621,11.419757032374822,0.0011885502540740264
7.0,3.0,11.802937655769473,81.8413098624405,11.801653694094052,0.0012839616754207507
7.0,4.0,12.189264438426987,81.27115109311545,12.187878366350398,0.0013860720765875869
7.0,5.0,12.579524453937754,80.7093550959243,12.57802918672626,0.0014952672114937962
7.0,7.0,13.370132410596712,79.61155694998057,13.368395879648553,0.0017365309481595292
7.0,35.0,23.468744148859184,68.65857557508748,23.458203769709584,0.010540379149598504
7.0,36.0,23.706076416977947,68.4470598345904,23.69494717122678,0.011129245751166084
7.0,37.0,23.929253585872086,68.24954212300622,23.917510709906537,0.011742875965548535
7.0,38.0,24.13783335804245,68.06614430096654,24.125451595896536,0.012381762145912795
7.0,51.0,25.373246344106484,67.00746227100382,25.350098141970083,0.023148202136402327
7.0,53.0,25.305197276789748,67.06713054842886,25.279973433935876,0.025223842853871185
7.0,54.0,25.24507656942725,67.11929677819934,25.218773459006893,0.02630311042035596
8.0,4.0,12.763822381585895,80.44874144447506,12.762287242913732,0.001535138672162841
8.0,5.0,13.172481762114561,79.88116173416608,13.170825684800578,0.0016560773139824303
8.0,35.0,24.575451646094994,67.68308503607086,24.563777690659975,0.011673955435018863
8.0,36.0,24.824004847751013,67.468511173732,24.811678695429496,0.012326152321516348
8.0,37.0,25.057737323259783,67.26812023536856,25.044731547209878,0.013005776049905113
8.0,38.0,25.276185959598916,67.08203932499369,25.262472587674917,0.01371337192399724
8.0,50.0,26.578563866614164,66.0,26.554029156330753,0.024534710283412014
8.0,51.0,26.570473839731196,66.007575322837,26.54483613957774,0.025637700153458242
8.0,52.0,26.544047910640806,66.03029607687671,26.51727618067082,0.026771729969985752
8.0,53.0,26.499343055461825,66.06814663663572,26.471406487602476,0.027936567859347613
8.0,54.0,26.436454093538046,66.12110101926616,26.407322187133968,0.029131906404079706
9.0,5.0,13.783845674613627,79.05694150420949,13.782012762473018,0.0018329121406086776
9.0,6.0,14.21532351975587,78.49203781276162,14.213347579152511,0.0019759406033582113
9.0,35.0,25.71657079735132,66.70832032063167,25.703650304772193,0.012920492579127078
9.0,36.0,25.976697390509898,66.49060083951716,25.963055059897464,0.013642330612433475
9.0,37.0,26.221317163337826,66.2872536767062,26.206922639230385,0.014394524107442488
9.0,38.0,26.449945545154343,66.09841147864296,26.434767868559202,0.015177676595141975
9.0,39.0,26.66212696961241,65.92419889539804,26.646134610993528,0.015992358618879914
9.0,44.0,27.462598302450488,65.27633568147036,27.442042365477707,0.02055593697278089
9.0,47.0,27.723501589321994,65.06919393998976,27.69980187907045,0.023699710251544475
9.0,49.0,27.802607279745665,65.00769185258002,27.776639005677865,0.025968274067800313
9.0,50.0,27.813413131040058,65.0,27.786258620821787,0.027154510218270853
9.0,51.0,27.80501428228591,65.00769185258002,27.776639005677865,0.028375276608044248
9.0,54.0,27.664986363258425,65.12296062065974,27.632743771396147,0.03224259186227815
