node_id,mae_baseline,mae_csp,mae_delta,mae_improve_rate,mse_baseline,mse_csp,mse_delta,mse_improve_rate
961,0.27041548,0.2593481,0.01106739,0.040927354,0.20022437,0.1918594,0.008364975,0.04177801
659,0.27991936,0.26891446,0.011004895,0.03931452,0.21183722,0.20242773,0.009409487,0.04441848
263,0.25953418,0.2485788,0.010955378,0.042211697,0.22087981,0.20804256,0.012837246,0.058118694
822,0.3841148,0.37335297,0.010761827,0.028017215,0.3031763,0.28974882,0.013427496,0.044289395
582,0.28604826,0.27529567,0.0107525885,0.03759012,0.27582136,0.26769412,0.008127242,0.029465603
106,0.28901163,0.27847132,0.010540307,0.036470182,0.21671665,0.20745935,0.009257302,0.042716153
172,0.2965508,0.2861724,0.01037842,0.034997106,0.27082115,0.2604248,0.010396361,0.03838829
803,0.5706684,0.5603407,0.010327697,0.018097544,0.54331267,0.52734894,0.015963733,0.029382221
829,0.42559746,0.41530156,0.010295898,0.024191633,0.33749622,0.32179838,0.015697837,0.04651263
872,0.28163245,0.27146694,0.010165513,0.03609496,0.21176802,0.20129031,0.010477707,0.049477287
876,0.59073937,0.5805769,0.010162473,0.017202972,0.57277894,0.55041033,0.02236861,0.03905278
915,0.6013997,0.5912701,0.010129631,0.016843423,0.6133496,0.59284866,0.020500958,0.033424586
914,0.27280414,0.2628721,0.009932041,0.03640722,0.21146281,0.20439838,0.007064432,0.033407442
643,0.44344985,0.433564,0.009885848,0.022293044,0.3706477,0.35706645,0.013581246,0.03664193
793,0.4309388,0.42119285,0.0097459555,0.022615636,0.3454341,0.33350685,0.011927247,0.034528285
724,0.4067783,0.39708903,0.009689271,0.023819538,0.34175444,0.33069107,0.011063367,0.03237227
340,0.66435707,0.65467,0.009687066,0.014581114,0.7184298,0.7107199,0.0077099204,0.010731626
709,0.61269534,0.6030179,0.00967741,0.015794815,0.6020953,0.58879644,0.013298869,0.022087649
896,0.6233569,0.613756,0.009600878,0.015401896,0.6268286,0.6127276,0.014101028,0.022495829
999,0.5411559,0.53173,0.0094258785,0.017418047,0.5054714,0.48874268,0.016728729,0.033095304
330,0.2932889,0.28387067,0.009418219,0.03211243,0.23632434,0.22780487,0.008519471,0.036049906
255,0.26575992,0.25634977,0.009410143,0.035408437,0.2077306,0.19900008,0.008730531,0.04202814
227,0.72001016,0.71064556,0.009364605,0.013006212,0.8348451,0.8252139,0.0096312165,0.011536531
612,0.28878617,0.27964988,0.009136289,0.031636864,0.21686321,0.20943902,0.0074241906,0.034234438
533,0.594541,0.5854361,0.0091049075,0.0153141795,0.5797181,0.5705102,0.009207904,0.015883416
130,0.6434539,0.6343736,0.009080291,0.014111797,0.6629439,0.65370584,0.009238064,0.013934911
511,0.5847625,0.5756869,0.009075642,0.015520218,0.57396364,0.5608859,0.013077736,0.022784956
451,0.28929985,0.2802373,0.009062558,0.031325832,0.24695262,0.23756082,0.0093918,0.038030773
926,0.704386,0.6953775,0.009008467,0.012789106,0.79504895,0.78082216,0.014226794,0.017894236
170,0.4327467,0.42375317,0.008993536,0.020782448,0.3509365,0.33853176,0.01240474,0.035347532
495,0.51662314,0.50763726,0.008985877,0.017393485,0.47464156,0.46045345,0.014188111,0.029892264
85,0.32398167,0.31505376,0.0089279115,0.02755684,0.25211832,0.24287453,0.009243786,0.03666448
359,0.28998178,0.28123334,0.008748442,0.030168936,0.24434084,0.23468181,0.009659022,0.039530937
622,0.28468445,0.27594358,0.008740872,0.030703722,0.23764363,0.22875078,0.008892849,0.037420943
379,0.6171289,0.6084599,0.008669019,0.014047339,0.6354563,0.6198293,0.015627027,0.024591818
114,0.2977694,0.28913447,0.008634925,0.028998699,0.23295817,0.22396688,0.008991286,0.038596142
188,0.380475,0.37201187,0.008463144,0.022243626,0.28201476,0.2720408,0.009973943,0.035366744
625,0.5581804,0.5498436,0.008336782,0.014935642,0.5200759,0.5086208,0.011455119,0.022025859
267,0.37787998,0.36960524,0.008274734,0.021897784,0.28210092,0.27017167,0.011929244,0.04228715
948,0.83742666,0.8291577,0.008268952,0.0098742405,1.1460547,1.1248431,0.021211624,0.018508386
636,0.27747583,0.2692644,0.008211434,0.02959333,0.20567141,0.19839305,0.007278368,0.035388328
713,0.27667928,0.2686895,0.007989764,0.02887735,0.22236203,0.21552049,0.0068415403,0.030767575
142,0.3209779,0.31300518,0.007972717,0.024838835,0.2822689,0.27298772,0.009281188,0.03288066
261,0.83677244,0.8288166,0.007955849,0.009507781,1.0871198,1.0651815,0.021938324,0.020180227
259,0.80086994,0.7929927,0.007877231,0.009835843,1.0263425,1.0085081,0.017834425,0.01737668
968,0.31123796,0.3033804,0.007857561,0.025246153,0.22564411,0.21550958,0.010134533,0.044913795
9,0.40544498,0.39762276,0.007822216,0.019292915,0.30473447,0.29174766,0.012986809,0.042616803
257,0.35112572,0.34331006,0.007815659,0.022258863,0.25999138,0.24657561,0.013415769,0.05160082
287,0.29355392,0.28583565,0.007718265,0.026292495,0.21061514,0.2022765,0.008338645,0.03959186
414,0.3025631,0.29488394,0.0076791644,0.025380373,0.2201232,0.2120328,0.008090407,0.036753993
281,0.7559665,0.7483173,0.0076491833,0.010118416,0.91731787,0.9088351,0.008482754,0.009247344
229,0.28575772,0.27811673,0.0076409876,0.026739392,0.2052096,0.19709754,0.008112058,0.039530598
65,0.6719085,0.66432744,0.007581055,0.011282869,0.7180203,0.7057654,0.012254894,0.017067615
566,0.37082383,0.36339095,0.007432878,0.02004423,0.29652226,0.28767705,0.00884521,0.029829836
59,0.46040422,0.45298773,0.0074164867,0.016108641,0.39743498,0.3851809,0.012254089,0.03083294
579,0.67933357,0.67199737,0.0073361993,0.010799112,0.75986147,0.7450763,0.014785171,0.019457718
656,0.5171791,0.509844,0.007335067,0.014182838,0.4531565,0.4419263,0.0112302005,0.024782168
306,0.46771058,0.46038967,0.0073209107,0.015652651,0.41581437,0.40086862,0.0149457455,0.03594331
282,0.27995867,0.27264488,0.007313788,0.026124528,0.24077344,0.23037489,0.010398552,0.043188117
652,0.7527217,0.74556965,0.0071520805,0.009501627,0.90859586,0.89305675,0.01553911,0.017102335
804,0.31005025,0.30296293,0.00708732,0.022858618,0.22598505,0.21916246,0.006822586,0.03019043
949,0.2637426,0.25667787,0.00706473,0.026786458,0.20263574,0.19405508,0.008580655,0.042345222
526,0.574437,0.567454,0.0069830418,0.012156323,0.56940955,0.5580015,0.011408031,0.020034842
404,0.6701983,0.6632183,0.006980002,0.01041483,0.7373974,0.7213272,0.016070187,0.021793118
260,0.74174887,0.7347702,0.0069786906,0.009408427,0.8839979,0.8699745,0.014023423,0.015863638
699,0.27036768,0.2634506,0.006917089,0.025584009,0.25824326,0.2491164,0.009126857,0.03534209
315,0.67578554,0.6689219,0.0068636537,0.010156556,0.72587633,0.71382916,0.012047172,0.016596727
475,0.819688,0.81300783,0.0066801906,0.008149674,1.086728,1.0743148,0.012413144,0.011422494
838,0.8730624,0.8664647,0.0065976977,0.0075569605,1.2014697,1.1817204,0.019749284,0.016437605
45,0.37117878,0.36459252,0.0065862536,0.017744156,0.2800996,0.2705623,0.009537309,0.03404971
967,0.7059619,0.6993847,0.0065771937,0.009316642,0.7812751,0.76937014,0.011904955,0.015237853
461,0.4552506,0.44868374,0.0065668523,0.014424698,0.3993352,0.386568,0.012767196,0.031971123
963,0.28593042,0.27941084,0.006519586,0.022801302,0.21166918,0.20577666,0.005892515,0.027838325
904,0.7587969,0.75232035,0.0064765215,0.008535251,0.91681206,0.90303975,0.013772309,0.015021955
394,0.5256679,0.5191963,0.006471634,0.012311259,0.46772787,0.45453385,0.013194025,0.028208762
763,0.68484825,0.67841554,0.006432712,0.009392901,0.7397864,0.7342963,0.0054900646,0.0074211485
271,0.82208276,0.81572825,0.006354511,0.00772977,1.0732235,1.0597432,0.013480306,0.012560576
88,0.8216073,0.81529284,0.0063144565,0.0076854923,1.0719396,1.0606567,0.011282921,0.010525706
283,0.81265795,0.8064132,0.0062447786,0.0076843877,1.0227206,1.0104272,0.012293339,0.012020232
